contact_id,email,industry,created_at,owner,company_size,country
C0000,user0@company.com,Healthcare,2024-01-12,Diana,195,UK
C0001,user1@company.com,,2024-08-20,Diana,257,Germany
C0002,user2@company.com,Education,2024-04-24,Charlie,473,UK
C0003,user3@company.com,Finance,2024-07-04,Alice,420,France
C0004,user4@company.com,Technology,2024-11-27,Diana,475,Spain
C0005,user5@company.com,Technology,2024-03-31,Diana,165,UK
C0006,user6@company.com,Technology,2024-05-29,Bob,260,Spain
C0007,user7@company.com,Retail,2024-10-02,Diana,327,Germany
C0008,user8@company.com,Education,2024-03-24,Diana,132,USA
C0009,user9@company.com,Education,2024-01-29,Bob,22,Germany
C0010,user10@company.com,Technology,2024-04-15,Charlie,285,UK
C0011,user11@company.com,,2024-02-28,Diana,494,Spain
C0012,user12@company.com,Retail,2024-12-05,Bob,227,Spain
C0013,user13@company.com,Healthcare,2024-10-21,Alice,58,France
C0014,user14@company.com,Technology,2024-08-19,Charlie,62,Spain
C0015,user15@company.com,Technology,2024-11-14,Alice,327,France
C0016,user16@company.com,Healthcare,2024-10-20,Alice,364,USA
C0017,user17@company.com,Finance,2024-03-09,Bob,178,UK
C0018,user18@company.com,Finance,2024-11-21,Diana,284,France
C0019,user19@company.com,Healthcare,2024-07-15,Bob,118,USA
C0020,user20@company.com,Education,2024-10-21,Bob,292,Spain
C0021,user21@company.com,Technology,2024-11-23,Bob,435,Spain
C0022,user22@company.com,Healthcare,2024-04-26,Bob,346,USA
C0023,user23@company.com,Healthcare,2024-02-10,Charlie,155,Spain
C0024,user24@company.com,Finance,2024-03-24,Diana,454,USA
C0025,user25@company.com,Education,2024-06-04,Alice,131,France
C0026,user26@company.com,Technology,2024-10-25,Alice,159,France
C0027,user27@company.com,Finance,2024-11-10,Diana,494,USA
C0028,user28@company.com,Finance,2024-01-03,Alice,390,France
C0029,user29@company.com,Technology,2024-07-05,Diana,478,France
C0030,user30@company.com,Education,2024-06-01,Alice,277,France
C0031,user31@company.com,Technology,2024-03-22,Bob,108,Germany
C0032,user32@company.com,Technology,2024-02-13,Alice,421,UK
C0033,user33@company.com,Retail,2024-05-03,Diana,397,Spain
C0034,user34@company.com,,2024-12-10,Diana,303,Germany
C0035,user35@company.com,Retail,2024-04-27,Diana,250,France
C0036,user36@company.com,Healthcare,2024-07-08,Diana,180,USA
C0037,user37@company.com,Technology,2024-09-13,Diana,43,France
C0038,user38@company.com,Education,2024-05-12,Charlie,481,UK
C0039,user39@company.com,Finance,2024-12-20,Charlie,174,France
C0040,user40@company.com,Technology,2024-12-17,Alice,251,USA
C0041,user41@company.com,Finance,2024-04-01,Diana,30,UK
C0042,user42@company.com,Technology,2024-06-30,Alice,359,France
C0043,user43@company.com,Retail,2024-04-19,Diana,310,UK
C0044,user44@company.com,Healthcare,2024-04-13,Diana,413,Spain
C0045,user45@company.com,Education,2024-01-14,Charlie,412,Spain
C0046,user46@company.com,Healthcare,2024-08-10,Charlie,17,France
C0047,user47@company.com,Finance,2024-07-02,Bob,320,UK
C0048,user48@company.com,Finance,2024-01-19,Charlie,395,USA
C0049,user49@company.com,Technology,2024-04-11,Bob,317,France
C0050,user50@company.com,,2024-11-27,Bob,40,Spain
C0051,user51@company.com,Education,2024-03-28,Bob,177,Spain
C0052,user52@company.com,Retail,2024-02-22,Bob,24,France
C0053,user53@company.com,Retail,2024-06-27,Bob,325,UK
C0054,user54@company.com,Finance,2024-12-25,Alice,268,Spain
C0055,user55@company.com,Retail,2024-03-29,Charlie,498,UK
C0056,user56@company.com,Technology,2024-09-02,Bob,404,Spain
C0057,user57@company.com,Technology,2024-10-04,Diana,146,Spain
C0058,user58@company.com,Technology,2024-03-27,Charlie,464,Germany
C0059,user59@company.com,Healthcare,2024-09-22,Charlie,375,Spain
C0060,user60@company.com,Healthcare,2024-05-14,Bob,475,USA
C0061,user61@company.com,Healthcare,2024-08-18,Alice,147,France
C0062,user62@company.com,Retail,2024-08-19,Bob,96,France
C0063,user63@company.com,Healthcare,2024-07-14,Alice,358,UK
C0064,user64@company.com,Healthcare,2024-02-02,Diana,326,Spain
C0065,user65@company.com,Finance,2024-10-31,Charlie,292,USA
C0066,user66@company.com,Technology,2024-04-27,Diana,219,UK
C0067,user67@company.com,Retail,2024-03-09,Alice,451,Germany
C0068,user68@company.com,Technology,2024-01-15,Alice,346,UK
C0069,user69@company.com,,2024-08-03,Diana,55,UK
C0070,user70@company.com,Education,2024-09-04,Alice,157,Spain
C0071,user71@company.com,Technology,2024-01-07,Diana,190,Germany
C0072,user72@company.com,Technology,2024-07-05,Charlie,67,UK
C0073,user73@company.com,Retail,2024-03-23,Diana,194,USA
C0074,user74@company.com,Education,2024-08-23,Charlie,129,USA
C0075,user75@company.com,Education,2024-03-04,Diana,154,France
C0076,user76@company.com,Education,2024-09-09,Alice,318,Germany
C0077,user77@company.com,Technology,2024-05-21,Diana,62,Germany
C0078,user78@company.com,Healthcare,2024-12-07,Alice,346,France
C0079,user79@company.com,Technology,2024-02-20,Diana,309,UK
C0080,user80@company.com,Retail,2024-05-04,Diana,184,Germany
C0081,user81@company.com,Education,2024-02-11,Bob,174,USA
C0082,user82@company.com,Healthcare,2024-12-03,Alice,330,USA
C0083,user83@company.com,Technology,2024-11-16,Bob,275,Spain
C0084,user84@company.com,Healthcare,2024-04-04,Alice,58,Germany
C0085,user85@company.com,Healthcare,2024-08-28,Bob,495,UK
C0086,user86@company.com,Education,2024-10-25,Charlie,448,France
C0087,user87@company.com,Education,2024-07-21,Diana,105,France
C0088,user88@company.com,Retail,2024-07-12,Alice,485,UK
C0089,user89@company.com,Finance,2024-03-29,Alice,268,Spain
C0090,user90@company.com,Technology,2024-02-03,Diana,57,France
C0091,user91@company.com,Education,2024-11-23,Alice,64,Germany
C0092,user92@company.com,Education,2024-11-24,Alice,496,Spain
C0093,user93@company.com,Finance,2024-08-19,Bob,112,Germany
C0094,user94@company.com,Education,2024-05-03,Alice,9,USA
C0095,user95@company.com,Finance,2024-05-07,Charlie,107,Spain
C0096,user96@company.com,Finance,2024-09-21,Charlie,200,France
C0097,user97@company.com,Finance,2024-11-23,Diana,266,Spain
C0098,user98@company.com,Technology,2024-11-19,Alice,369,Spain
C0099,user99@company.com,Technology,2024-10-11,Diana,484,Spain
